Arongan Lambalek, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 1
Bubon, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 2
Johan Pahlawan, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 3
Kaway XVI, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 4
Meureubo, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 5
Pante Ceureumen (Pantai Ceuremen), Aceh Barat, Nanggroe Aceh Darussalam (NAD), 6
Panton Reu, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 7
Samatiga, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 8
Sungai Mas, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 9
Woyla, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 10
Woyla Barat, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 11
Woyla Timur, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 12
Babah Rot, Aceh Barat Daya, Nanggroe Aceh Darussalam (NAD), 13
Blang Pidie, Aceh Barat Daya, Nanggroe Aceh Darussalam (NAD), 14
Jeumpa, Aceh Barat Daya, Nanggroe Aceh Darussalam (NAD), 15
Kuala Batee, Aceh Barat Daya, Nanggroe Aceh Darussalam (NAD), 16
Lembah Sabil, Aceh Barat Daya, Nanggroe Aceh Darussalam (NAD), 17
Manggeng, Aceh Barat Daya, Nanggroe Aceh Darussalam (NAD), 18
Setia, Aceh Barat Daya, Nanggroe Aceh Darussalam (NAD), 19
Susoh, Aceh Barat Daya, Nanggroe Aceh Darussalam (NAD), 20
Tangan-Tangan, Aceh Barat Daya, Nanggroe Aceh Darussalam (NAD), 21
Baitussalam, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 22
Blank Bintang, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 23
Darul Imarah, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 24
Darul Kamal, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 25
Darussalam, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 26
Indrapuri, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 27
Ingin Jaya, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 28
Kota Cot Glie (Kuta Cot Glie), Aceh Besar, Nanggroe Aceh Darussalam (NAD), 29
Kota Jantho, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 30
Kota Malaka (Kuta Malaka), Aceh Besar, Nanggroe Aceh Darussalam (NAD), 31
Krueng Barona Jaya, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 32
Kuta Baro, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 33
Lembah Seulawah, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 34
Leupung, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 35
Lhoknga (Lho'nga), Aceh Besar, Nanggroe Aceh Darussalam (NAD), 36
Lhoong, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 37
Mantasiek (Montasik), Aceh Besar, Nanggroe Aceh Darussalam (NAD), 38
Mesjid Raya, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 39
Peukan Bada, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 40
Pulo Aceh, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 41
Seulimeum, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 42
Simpang Tiga, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 43
Suka Makmur, Aceh Besar, Nanggroe Aceh Darussalam (NAD), 44
Darul Hikmah, Aceh Jaya, Nanggroe Aceh Darussalam (NAD), 45
Indra Jaya, Aceh Jaya, Nanggroe Aceh Darussalam (NAD), 46
Jaya, Aceh Jaya, Nanggroe Aceh Darussalam (NAD), 47
Keude Panga, Aceh Jaya, Nanggroe Aceh Darussalam (NAD), 48
Krueng Sabee, Aceh Jaya, Nanggroe Aceh Darussalam (NAD), 49
Pasie Raya, Aceh Jaya, Nanggroe Aceh Darussalam (NAD), 50
Sampoiniet, Aceh Jaya, Nanggroe Aceh Darussalam (NAD), 51
Setia Bakti, Aceh Jaya, Nanggroe Aceh Darussalam (NAD), 52
Teunom, Aceh Jaya, Nanggroe Aceh Darussalam (NAD), 53
Bakongan, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 54
Bakongan Timur, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 55
Kluet Selatan, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 56
Kluet Tengah, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 57
Kluet Timur, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 58
Kluet Utara, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 59
Kota Bahagia, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 60
Labuhan Haji, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 61
Labuhan Haji Barat, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 62
Labuhan Haji Timur, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 63
Meukek, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 64
Pasie Raja, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 65
Sama Dua, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 66
Sawang, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 67
Tapak Tuan, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 68
Trumon, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 69
Trumon Tengah, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 70
Trumon Timur, Aceh Selatan, Nanggroe Aceh Darussalam (NAD), 71
Danau Paris, Aceh Singkil, Nanggroe Aceh Darussalam (NAD), 72
Gunung Meriah (Mariah), Aceh Singkil, Nanggroe Aceh Darussalam (NAD), 73
Kota Baharu, Aceh Singkil, Nanggroe Aceh Darussalam (NAD), 74
Kuala Baru, Aceh Singkil, Nanggroe Aceh Darussalam (NAD), 75
Pulau Banyak, Aceh Singkil, Nanggroe Aceh Darussalam (NAD), 76
Pulau Banyak Barat, Aceh Singkil, Nanggroe Aceh Darussalam (NAD), 77
Simpang Kanan, Aceh Singkil, Nanggroe Aceh Darussalam (NAD), 78
Singkil, Aceh Singkil, Nanggroe Aceh Darussalam (NAD), 79
Singkil Utara, Aceh Singkil, Nanggroe Aceh Darussalam (NAD), 80
